,Date,Receipt ID,Item,Department,Category,Fineline,Brand,Quantity,Total Sales,Price per Quantity,Customer Account,Gender,Age,Day
449,2008-07-21,298-00081,NON WOOVEN PACKAGING BAG #22,WRAPPING MATERIAL,POLYTHENE BAGS,POLYTHENE BAGS -1,NON,1.0,10.0,10,CD-436862,Male,29 -39,Monday
450,2008-07-21,298-00086,WEETABIX 450G,BREAKFAST,BREAKFAST CEREALS,BISCUIT CEREALS,WEETABIX,1.0,345.0,345,CD-143180,Male,40 -50,Monday
451,2008-07-21,298-00076,TOMATOES P/KG,FRUITS + VEG,VEGETABLES,FRUIT VEGETABLE,TOMATOES,0.98734177,78.0,79,CD-403137,Female,40 -50,Monday
452,2008-07-25,298-00975,HANNAN COTTON BUDS 100S,PERSONAL CARE,COTTON WOOL & BUDS,COTTON BUDS,HANNAN,1.0,85.0,85,CD-096492,Female,18 -28,Friday
453,2008-07-26,298-01037,KARTASI EX. BOOK 1/2 48P S/L,STATIONERY,SCHOOL STATIONERY,"GRAPH,EXERCISE + COUNTER BOOKS",KARTASI,3.0,51.0,17,CD-690239,Male,18 -28,Saturday
454,2008-07-27,298-01263,BROADWAYS BROWN BREAD 600G,CONFECTIONARY,BREAD,BREAD ROLLS,BROADWAYS,1.0,75.0,75,CD-336228,Female,40 -50,Sunday
455,2008-07-27,298-01324,SANTA LUCIA SPAGHETTI 400G,PASTA + NOODLES,PASTA,LONG PASTA,SANTA,1.0,72.6703,109,CD-095693,Male,18 -28,Sunday
456,2008-07-21,298-00105,JIK REGULAR BLEACH  750ML,LAUNDRY,BLEACHES + STAIN REMOVERS,BLEACHES,JIK,1.0,220.0,220,CD-431135,Male,73 -83,Monday
457,2008-07-27,298-01277,KRACKLES BAR-BE-QUE CRISPS 30G,SNACKS,CRISPS,FOIL PACK CRISPS,KRACKLES,1.0,47.0,47,CD-249898,Male,29 -39,Sunday
458,2008-07-27,298-01347,BROADWAYS WHITE BREAD 400G,CONFECTIONARY,BREAD,BREAD ROLLS,BROADWAYS,1.0,50.0,50,CD-682075,Male,40 -50,Sunday
459,2008-07-25,298-00921,MINUTE MAID TROPICAL 1L,COLD BEVERAGE,JUICE,RTD FRUIT JUICE,MINUTE,1.0,111.0,130,CD-233613,Male,29 -39,Friday
460,2008-07-27,298-01159,NDHIWA PACKED SUGAR 2KG,SUGAR,WHITE SUGAR,WHITE SUGAR-1,NDHIWA,1.0,206.0,206,CD-283458,Female,29 -39,Sunday
461,2008-07-27,298-01143,TS WHOLEMEAL BREAD 400G,TES BAKERY,TES BREAD,TES BREAD ROLLS,TS,1.0,45.0,45,CD-358161,Male,40 -50,Sunday
462,2008-07-26,298-01083,MENTOS S/BERRY ROLLS 37.5G,CONFECTIONERY,CHEWY AND HARD,FRUITY,MENTOS,1.0,59.0,59,CD-296622,Male,40 -50,Saturday
463,2008-07-25,298-00947,AMARA MEN COOLING LOTION 200ML,BEAUTY,BODY CARE,SKIN LOTIONS,AMARA,1.0,115.0,115,CD-048257,Female,18 -28,Friday
464,2008-07-26,298-01054,KERINGET MINERAL WATER 1LTR,COLD BEVERAGE,WATER,MINERAL WATER,KERINGET,1.0,85.0,85,CD-697506,Male,62 -72,Saturday
465,2008-07-27,298-01135,TES GOAT RIBS,TES BUTCHERY,GOAT MEAT,GOAT MEAT PRODUCTS,TES,0.345,138.0,400,CD-698608,Male,29 -39,Sunday
466,2008-07-25,298-00911,TS MULTICEREAL LOAF 400G,TES BAKERY,TES SPECIALITY BREAD,SPECIALITY BREAD - TES,TS,1.0,203.0,203,CD-028669,Female,18 -28,Friday
467,2008-07-27,298-01241,MENENGAI CREAM B/SOAP 1KG,LAUNDRY,LAUNDRY BARS,LONG BARS,MENENGAI,1.0,138.0,138,CD-359519,Male,29 -39,Sunday
468,2008-07-27,298-01270,KABRAS PACKED SUGAR 1KG,SUGAR,WHITE SUGAR,WHITE SUGAR-1,KABRAS,1.0,99.0,99,CD-284726,Female,62 -72,Sunday
